code,loc,dates,user,environment,transports,securite,sante,sp_loisirs,culture,enseignement,commerces,qualite_de_vie,comm_positif,comm_negatif,agree,disagree,average
69001,LYON 1ER ARRONDISSEMENT,NA,FSM,1,7,5,8,7,8,7,8,6,"Patrimoine historique de premier ordre !!
Commerces sympa et variés","La rue est devenue un dépotoire à cigarettes et déchets alimentaires.( boissons)
Les trottoirs sont fortement dégradés.
La tolérance a ses limites surtout en matière de propreté.
Le lieu est très bruyant.
Quelles sont vos suggestions? 
Merci",13,1,6.3
69001,LYON 1ER ARRONDISSEMENT,NA,Ilove69001,7,8,6,9,10,10,9,9,9,"The place to be quand on vit à Lyon. Mixité socio-économique, habitants tolérants.","Propreté, manque de stationnement de velo'v",3,4,8.6
69001,LYON 1ER ARRONDISSEMENT,NA,Trabouele,7,7,3,7,5,8,7,7,7,L'arrondissement qui bouge le plus à Lyon. Bien pour les sorties.,Immobilier très cher pour des logements assez vétustes. Insécurité les soirs de w end.,10,4,6.4
69001,LYON 1ER ARRONDISSEMENT,NA,pablogg,7,4,8,6,7,10,10,7,8,"ville propre, agréable, pas si froide",ville globalement chère,3,5,7.4
69001,LYON 1ER ARRONDISSEMENT,NA,ChristianeEr,6,10,5,7,5,8,7,8,7,"Très animé, pentes de la Croix Rousse. Une architecture ancienne, l'histoire à chaque coin de rue ou presque. Vie nocturne active.",Très cher! Beaucoup de nuisances sonores et personnes alcoolisées le week end.,4,6,7
69002,LYON 2E ARRONDISSEMENT,NA,Rubika,7,10,7,9,8,9,9,9,8,"Quartier Sainte Blandine très calme et arboŕé, globalement bien fréquenté avec beaucoup de familles.
Paroisse très dynamique.
Proximité de toutes les commodités et transports + pistes cyclables.
Qualité des commerces.
Présence Saône et Rhône, quais pour se promener. Accès aux collines de Fourvière et Croix Rousse immédiat.
Cinéma, associations, clubs de sport, culture à 15 minutes à pied.","Les tags sont un sujet en Presqu'île mais ça semble s'améliorer.
Rien de particulier à signaler, délinquance dans la ""norme""...
Jamais été agressée ni sentie en danger depuis 6 ans.",1,1,8.4
69002,LYON 2E ARRONDISSEMENT,NA,poligone,1,2,2,7,2,5,5,7,3,"Patrimoine,  commerces (pour combien de temps encore ?) gastronomie (pour combien de temps encore ?)
quand on voit les commentaires élogieux sur le site on se pose sérieusement la question de savoir s'ils ne sont pas les fruits de la communication de la ville et de la métropole ??? complètement déconnectés de ce que ressent la majorité des habitants qui commencent à se rebeller, associations de quartiers,  de commerçants. ..","Gestion écologique de la ville et de la métropole arbitraire,  dogmatique et sectaire. En résumé, on empêche les voitures de circuler et donc de se garer. on détruit et on réfléchit après ! travaux interminables avec rues défoncées sans aucune concertation ni planification efficace,  aucun moyen de transports de substitution si ce n'est les trottinettes et les vélos avec leur cortège d'incivilités. Transports en commun avec des perturbations quotidiennes (favorisés par les travaux de voierie dénoncés ci dessus), ville de plus en plus sale, sur fond de pseudo-concertation, d'habillage de démocratie participative,  d'endettement et de dégradation du quotidien des administrés !",18,6,3.8
69002,LYON 2E ARRONDISSEMENT,NA,jolafrite,4,10,6,8,6,8,10,10,8,"- Offre éducative d'excellence.
- Commerces et restaurants de qualité à portée immédiate
- Idéalement situé (pour la partie ""noble"" du 2eme,  entre Perrache et Bellecour),  c'est-à-dire proche de tout (centre-ville,  Vieux-Lyon,  centres commerciaux,  infrastructures,  etc.) et facile de rayonner à pied ou en vélo.
- Proximité immédiate de la gare Perrache,  2h de TGV de Paris.","- Très (beaucoup trop) bruyant sur et près des grands axes (quais de Saône et de Rhône) ainsi que sur les places et dans nombre de rues passantes...
- Comme ailleurs en France,  dégradation notable de la civilité/sécurité conjuguée avec une incompréhensible apathie des pouvoirs publics : voitures fracturées tous les soirs,  groupes de marginaux plus ou moins agressifs qui déambulent en divers endroits (place Carnot,  quais de Saône,  place Ampère,  rue Victor-Hugo,  etc.) et font franchement tâche dans ce qu'on présente traditionnellement comme le ""quartier bourgeois"" de Lyon !
- Invivable l'été à cause de la chaleur étouffante de jour comme de nuit.
- A part les quais de Saône (bien aménagés au niveau de Confluence mais pris d'assaut dès les beaux jours),  pas d'espaces verts.",8,3,7.8
69002,LYON 2E ARRONDISSEMENT,NA,Newt,2,8,5,4,6,8,7,7,5,"- proximité des transports : facilité et rapidité de déplacement,  grâce aux trams,  au métro et aux bus présents à Perrache et dans le reste de l'arrondissement ;
- présence de Confluence et de Bellecour/Cordeliers ;
- culture,  divertissement et amusement bien implantés : bibliothèque,  cinémas UGC et Pathé,  beaucoup de restos (surtout du côté de Confluence),  Musée des Confluences,  balades le long de la Saône,  MJC,  patinoire,  beaucoup de commerces (pour toutes les bourses on va dire) ;
- établissement scolaires présents et bien répartis ;
- présences d'établissement sportifs.","- cadre de vie de plus en plus mitigé :
- Confluence : insécurité et surtout incivisme de plus en plus grandissant,  hausse des prix des logements sociaux livrés neufs qui se dégradent en moins de 10 ans,  aucune propreté et aucun respect dans les immeubles,  voisins parfois bruyant et irrespectueux,  pollution à cause de l'autoroute A7,  quartier très dégradé,  pollué et bruyant ;
- Bellecour/Cordeliers : de plus en plus d'individus / de personnages très douteux,  beaucoup de monde le week-end (mais bon c'est normal),  place Bellecour constamment en travaux et on ignore pourquoi,  bruit et incivisme sur le secteur Cordeliers et Rue de la République ;
- environnement peu pris au sérieux : présence de Platanes sur le secteur Confluence,  ce qui apporte du pollen en période de pic,  saleté,  végétalisation durable absente,  véritable revalorisation du quai Perrache inexistante,  peu de zones d'ombre...,  pistes cyclables parfois peu sécurisées ;
- peu de généralistes dans le secteur Confluence,  présences de peu d'établissement de santé,  pas d'hôpital...
- services publics disparates,  bureau de Poste très isolé à Confluence.",10,1,5.8
69002,LYON 2E ARRONDISSEMENT,NA,Senga2104,4,10,5,10,7,10,9,10,7,Très bien entretenu. Beaucoup de magasins. Superbe architecture.,"C'est l'enfer du jeudi 23h au dimanche soir.
Ça gueule,  ça met la musique à fond,  ça roule les fenêtres ouvertes avec la musique à fond.
Nettoyage dès 6h du matin.
Je déconseille pour l'habitat. La rue de la République est un enfer.
A fuir.",7,1,8
69002,LYON 2E ARRONDISSEMENT,NA,pdu,3,3,1,6,1,5,5,7,2,"offre commerciale,  culturelle et de restauration qui correspond encore à celle d'une grande ville dont la qualité de vie était reconnue. .. mais pour combien de temps encore ?","de plus en plus sale,  de plus en plus malfamé le soir (police municipale qui ferme ses bureaux à 20H. ..),  impossibilité de circuler et de se garer,  embouteillages monstres,  agressivité,  rues défoncées en permanence et division par 2 ou 3 des voies de circulation,  suppression de centaine de places pour se garer. Nette aggravation depuis la municipalité écologique dont la principale priorité est d'empêcher les voitures de rouler sans mettre d'offre de transport alternative de qualité si ce n'est la trottinette,  le vélo et ses pieds. .. quelle tristesse ! c'est d'ailleurs pourquoi je pense que les points positifs ci dessus vont nettement se détériorer. ....  Saleté,  immondices,  incivilités le soir le week end sont devenus le quotidien depuis quelques années !",17,4,3.7
69002,LYON 2E ARRONDISSEMENT,NA,Duke,7,5,8,9,9,10,8,10,9,"De nombreux lieux culturels (musées,  théâtre),  de nombreuses boutiques,  beaucoup d'excellents restaurants lyonnais,  une magnifique architecture très bien entretenue,  une bonne ambiance,  une relative propreté.","Les projets de la mairie nuisent à la mobilité,  parfois trop de monde dans certaines rues,  et des manifestations très régulièrement.",6,3,8.3
